"year","broad_money_growth","inflation_cpi","gov_cons_gdp","exrate_lcu_per_usd","tot_index","fx_depr","tot_growth","money_growth_l1","fx_depr_l1","tot_growth_l1","gov_cons_l1","post_stabilization","regime","high_infl_20","high_infl_100","infl_vol_5y","fx_vol_5y","log1p_inflation","inflation_cpi_w","fx_depr_w","broad_money_w"
2000,-0.399441851801342,3.75733833344474,11.4506268550924,3.49,61.1897258896,3.10403193946502,-3.10905867126952,14.4902175465321,14.385899379071,-7.528981688366,11.5489906334077,TRUE,"Post-stabilization",FALSE,FALSE,3.392521011149,4.0167130003191,1.55968833820138,3.75733833344474,3.10403193946502,0.783115902289091
2001,0.563891323477896,1.97709878502053,11.7171706103755,3.50683333333333,60.8580324785,0.481170981478352,-0.543548250581338,-0.399441851801342,3.10403193946502,-3.10905867126952,11.4506268550924,TRUE,"Post-stabilization",FALSE,FALSE,2.77335253717804,5.47662651966891,1.0909492642243,1.97709878502053,0.481170981478352,0.783115902289091
2002,4.32965353437533,0.193135003853722,11.165025870435,3.5165,65.3216722718,0.275273073681648,7.07800536977103,0.563891323477896,0.481170981478352,-0.543548250581338,11.7171706103755,TRUE,"Post-stabilization",FALSE,FALSE,2.60872138444356,6.18995230797175,0.176584300044157,1.53711873145865,0.275273073681648,4.32965353437533
2003,-2.13689889028637,2.25937753363072,11.518716629881,3.478467,66.5881110722,-1.08744972771564,1.92021801854372,4.32965353437533,0.275273073681648,7.07800536977103,11.165025870435,TRUE,"Post-stabilization",FALSE,FALSE,1.41702413739673,6.30858972057021,1.18153623654306,2.25937753363072,-1.08744972771564,0.783115902289091
2004,3.25992194167151,3.66247320092233,11.2562792024042,3.413175,75.9200506765,-1.89487363401746,13.1154772618459,-2.13689889028637,-1.08744972771564,1.92021801854372,11.518716629881,TRUE,"Post-stabilization",FALSE,FALSE,1.45778466055293,1.90795555828761,1.53954603716196,3.66247320092233,-1.89487363401746,3.25992194167151
2005,17.0952678011346,1.61630193862544,11.444512241325,3.29584166666667,80.6,-3.49813702811315,5.98178277124504,3.25992194167151,-1.89487363401746,13.1154772618459,11.2562792024042,TRUE,"Post-stabilization",FALSE,FALSE,1.24765739887632,1.64046364217708,0.961761846898434,1.61630193862544,-3.49813702811315,17.0952678011346
2006,8.04516103950725,2.00225801248819,10.9166950883829,3.27403250265816,104.6,-0.66391664607337,26.064490211824,17.0952678011346,-3.49813702811315,5.98178277124504,11.444512241325,TRUE,"Post-stabilization",FALSE,FALSE,1.24788668195918,1.42211975549533,1.09936467638287,2.00225801248819,-0.66391664607337,8.04516103950725
2007,29.4038396048139,1.77998644680372,10.455030294689,3.12804457735247,110.9,-4.56143327534593,5.84853427254988,8.04516103950725,-0.66391664607337,26.064490211824,10.9166950883829,TRUE,"Post-stabilization",FALSE,FALSE,0.818235814995153,1.64714263926655,1.0224460524402,1.77998644680372,-4.54949384747441,29.4038396048139
2008,22.7640711546424,5.78587598206755,10.3708617908307,2.92440833333333,97.7,-6.7315892632938,-12.6727335307584,29.4038396048139,-4.56143327534593,5.84853427254988,10.455030294689,TRUE,"Post-stabilization",FALSE,FALSE,1.77438933195693,2.35505359104688,1.91484339063765,5.78587598206755,-4.54949384747441,22.7640711546424
2009,4.57047933320314,2.936231535967,11.466355995307,3.01150833333333,95.2,2.93488796477581,-2.59216172514174,22.7640711546424,-6.7315892632938,-12.6727335307584,10.3708617908307,TRUE,"Post-stabilization",FALSE,FALSE,1.73270481949741,3.74370338461719,1.37022380265474,2.936231535967,2.93488796477581,4.57047933320314
2010,21.0546552757542,1.52832059732901,10.5258359246036,2.825125,115.1,-6.38884492609901,18.9821373930517,4.57047933320314,2.93488796477581,-2.59216172514174,11.466355995307,TRUE,"Post-stabilization",FALSE,FALSE,1.7484128047156,4.13804046919561,0.927555286807507,1.53711873145865,-4.54949384747441,21.0546552757542
2011,11.7360187654868,3.36931095333853,10.3623514688753,2.7541,124.2,-2.54619009392445,7.60918537715414,21.0546552757542,-6.38884492609901,18.9821373930517,10.5258359246036,TRUE,"Post-stabilization",FALSE,FALSE,1.6973419824391,3.94411636062063,1.47460532009367,3.36931095333853,-2.54619009392445,11.7360187654868
2012,15.0150228720275,3.61121294940163,10.8712123448481,2.63758641774892,120.7,-4.32264471791555,-2.85850413958926,11.7360187654868,-2.54619009392445,7.60918537715414,10.3623514688753,TRUE,"Post-stabilization",FALSE,FALSE,1.53668101252894,3.92884078672096,1.52849093506896,3.61121294940163,-4.32264471791555,15.0150228720275
2013,16.4789848315359,2.76789666082002,11.5009309068431,2.70189902597403,113.5,2.40906054451805,-6.15052911820282,15.0150228720275,-4.32264471791555,-2.85850413958926,10.8712123448481,TRUE,"Post-stabilization",FALSE,FALSE,0.807754309165689,4.11938686343478,1.32651693086564,2.76789666082002,2.40906054451805,16.4789848315359
2014,6.26515057848419,3.41194579807465,12.4020903759554,2.83904413780664,107.4,4.95125555915817,-5.52426548466931,16.4789848315359,2.40906054451805,-6.15052911820282,11.5009309068431,TRUE,"Post-stabilization",FALSE,FALSE,0.848528174653635,4.72621427766893,1.48431581620125,3.41194579807465,4.95125555915817,6.26515057848419
2015,13.3870674203525,3.39809194746308,12.9655733799238,3.18443924152237,100,11.4808786881498,-7.13899960866726,6.26515057848419,4.95125555915817,-5.52426548466931,12.4020903759554,TRUE,"Post-stabilization",FALSE,FALSE,0.31869338272766,6.29741892414876,1.48117079856775,3.39809194746308,11.4808786881498,13.3870674203525
2016,2.75613711158984,3.55717663556279,13.1636888035228,3.37506158720665,99.8,5.81373610122586,-0.200200267067352,13.3870674203525,11.4808786881498,-7.13899960866726,12.9655733799238,TRUE,"Post-stabilization",FALSE,FALSE,0.337692935758447,5.7431152774812,1.51670327290048,3.55717663556279,5.81373610122586,2.75613711158984
2017,9.33091398902329,2.99490045809443,13.2122751962604,3.2604884908321,107.2,-3.45365442525478,7.15280653192831,2.75613711158984,5.81373610122586,-0.200200267067352,13.1636888035228,TRUE,"Post-stabilization",FALSE,FALSE,0.330580969565818,5.43041230806293,1.38501866228564,2.99490045809443,-3.45365442525478,9.33091398902329
2018,5.43327443052407,1.50915423024742,13.0774424949562,3.28660269803296,106.7,0.797738871720943,-0.467509032899383,9.33091398902329,-3.45365442525478,7.15280653192831,13.2122751962604,TRUE,"Post-stabilization",FALSE,FALSE,0.845274382437996,5.61105794261009,0.919945736299106,1.53711873145865,0.797738871720943,5.43327443052407
2019,8.31837591438,2.25212191358027,13.2443725852511,3.3372655465368,104.9,1.5297356346281,-1.70136429054564,5.43327443052407,0.797738871720943,-0.467509032899383,13.0774424949562,TRUE,"Post-stabilization",FALSE,FALSE,0.854227289167953,5.6619487145101,1.1793076797837,2.25212191358027,1.5297356346281,8.31837591438
2020,38.2852960296511,2.00241205759292,15.8181030380089,3.4949411976912,114.6,4.61647778191296,8.84402888783882,8.31837591438,1.5297356346281,-1.70136429054564,13.2443725852511,TRUE,"Post-stabilization",FALSE,FALSE,0.813414571804407,3.62982755349548,1.09941598481546,2.00241205759292,4.61647778191296,38.2852960296511
2021,2.88013991595159,4.27166381536798,13.7498135562536,3.88055413137587,128.3,10.4661409953367,11.2923467340951,38.2852960296511,4.61647778191296,8.84402888783882,15.8181030380089,TRUE,"Post-stabilization",FALSE,FALSE,1.07451131290869,5.16719809549171,1.66234602721702,4.27166381536798,10.4661409953367,2.88013991595159
2022,9.31212092014772,8.33370630096231,13.3949556323686,3.83518137473542,114.8,-1.1761232516295,-11.1179787736124,2.88013991595159,10.4661409953367,11.2923467340951,13.7498135562536,TRUE,"Post-stabilization",FALSE,FALSE,2.80947350133134,4.54156807082416,2.23363218152607,8.33370630096231,-1.1761232516295,9.31212092014772
